arm	rep	pair	P	note
trait2gen	42	A	NA	invariant
trait2gen	42	ctrl	NA	invariant
gen2trait	42	A	0.0862226545729184	
gen2trait	42	ctrl	NA	invariant
null	42	A	0.0862226545729184	
null	42	ctrl	NA	invariant
feedback	43	A	0.000303739397615359	
feedback	43	ctrl	0.89663938809241	
trait2gen	43	A	0.216396246135856	
trait2gen	43	ctrl	0.36367373942224	
gen2trait	43	A	0.000506246636361735	
gen2trait	43	ctrl	0.99245174065543	
null	43	A	0.134055161227392	
null	43	ctrl	0.2139486668939	
feedback	44	A	1.01542927133687e-07	
feedback	44	ctrl	0.816710625392206	
trait2gen	44	A	0.135043792344282	
trait2gen	44	ctrl	0.019548360991426	
gen2trait	44	A	0.00078534271649997	
gen2trait	44	ctrl	0.980013538978287	
null	44	A	0.0502485445175452	
null	44	ctrl	0.638588642806409	
feedback	45	A	5.90523666391005e-05	
feedback	45	ctrl	0.674239001558334	
trait2gen	45	A	0.00323677559715048	
trait2gen	45	ctrl	0.878846283141905	
gen2trait	45	A	0.0016973255353964	
gen2trait	45	ctrl	0.40944987024132	
null	45	A	0.712350554975051	
null	45	ctrl	0.318487248093462	
feedback	46	A	NA	invariant
feedback	46	ctrl	0.0172475257586557	
trait2gen	46	A	NA	invariant
trait2gen	46	ctrl	0.54071427469173	
gen2trait	46	A	NA	invariant
gen2trait	46	ctrl	0.120050589959681	
null	46	A	NA	invariant
null	46	ctrl	0.486890774637448	
feedback	47	A	9.26161075506663e-06	
feedback	47	ctrl	NA	invariant
trait2gen	47	A	0.955985744920602	
trait2gen	47	ctrl	NA	invariant
gen2trait	47	A	1.1122693858996e-07	
gen2trait	47	ctrl	NA	invariant
null	47	A	0.543853831264473	
null	47	ctrl	NA	invariant
feedback	48	A	1.0434230128394e-08	
feedback	48	ctrl	0.595568110750859	
trait2gen	48	A	0.440212820937682	
trait2gen	48	ctrl	0.223729502169938	
gen2trait	48	A	0.0162949283028438	
gen2trait	48	ctrl	0.920828618414364	
null	48	A	0.874273962728297	
null	48	ctrl	0.0408416294138916	
feedback	49	A	0.0864099427528687	
feedback	49	ctrl	0.812332708671824	
trait2gen	49	A	0.489911334838168	
trait2gen	49	ctrl	0.43850489783084	
gen2trait	49	A	0.00752963491044859	
gen2trait	49	ctrl	0.47419192244448	
null	49	A	0.509817526046226	
null	49	ctrl	0.2141386276704	
feedback	50	A	5.7071675263689e-07	
feedback	50	ctrl	NA	invariant
trait2gen	50	A	0.460095176139731	
trait2gen	50	ctrl	NA	invariant
gen2trait	50	A	0.0002510433845201	
gen2trait	50	ctrl	NA	invariant
null	50	A	0.685844733555194	
null	50	ctrl	NA	invariant
feedback	51	A	1.13428246587101e-05	
feedback	51	ctrl	NA	invariant
trait2gen	51	A	0.924044004509894	
trait2gen	51	ctrl	NA	invariant
gen2trait	51	A	0.0647758854941134	
gen2trait	51	ctrl	NA	invariant
null	51	A	0.972660110443748	
null	51	ctrl	NA	invariant
feedback	52	A	2.40936837712158e-09	
feedback	52	ctrl	NA	invariant
trait2gen	52	A	0.0515790362132525	
trait2gen	52	ctrl	NA	invariant
gen2trait	52	A	0.0002088431681635	
gen2trait	52	ctrl	NA	invariant
null	52	A	0.989780364633178	
null	52	ctrl	NA	invariant
feedback	53	A	4.63309586697107e-08	
feedback	53	ctrl	0.195398227140011	
trait2gen	53	A	0.774216890728206	
trait2gen	53	ctrl	0.191338966258808	
gen2trait	53	A	0.00153807510009618	
gen2trait	53	ctrl	0.262888286651797	
null	53	A	0.0467876165917553	
null	53	ctrl	0.879875924939446	
feedback	54	A	3.49756064554074e-07	
feedback	54	ctrl	0.336245822537369	
trait2gen	54	A	0.923835467652689	
trait2gen	54	ctrl	0.044650389575161	
gen2trait	54	A	0.000499960644688967	
gen2trait	54	ctrl	0.734712592148166	
null	54	A	1	
null	54	ctrl	0.0279311392197346	
feedback	55	A	1.93686269409334e-05	
feedback	55	ctrl	0.586844546607667	
trait2gen	55	A	0.024318310426534	
trait2gen	55	ctrl	0.338754827893268	
gen2trait	55	A	2.43226572366717e-06	
gen2trait	55	ctrl	0.719380030047425	
null	55	A	0.261835225570696	
null	55	ctrl	0.833074642644668	
feedback	56	A	1.29842816087864e-05	
feedback	56	ctrl	0.904675378095926	
trait2gen	56	A	0.596134750066688	
trait2gen	56	ctrl	0.562942313616635	
gen2trait	56	A	0.000193292621056485	
gen2trait	56	ctrl	0.252045160015758	
null	56	A	0.83816904614246	
null	56	ctrl	0.322714245996473	
feedback	57	A	NA	invariant
feedback	57	ctrl	0.732156254975014	
trait2gen	57	A	NA	invariant
trait2gen	57	ctrl	0.9013972692445	
gen2trait	57	A	NA	invariant
gen2trait	57	ctrl	0.99506098337179	
null	57	A	NA	invariant
null	57	ctrl	0.998319767022973	
feedback	58	A	3.17060396932902e-06	
feedback	58	ctrl	0.764467109488867	
trait2gen	58	A	0.197569732870987	
trait2gen	58	ctrl	0.179893286994313	
gen2trait	58	A	2.47229970732026e-06	
gen2trait	58	ctrl	0.0307333930517722	
null	58	A	0.333463578119979	
null	58	ctrl	0.0921174762428795	
feedback	59	A	2.05839354102564e-09	
feedback	59	ctrl	0.0689538774949219	
trait2gen	59	A	0.217322988882619	
trait2gen	59	ctrl	0.189441780610951	
gen2trait	59	A	0.000587391549086004	
gen2trait	59	ctrl	0.272695582134063	
null	59	A	0.93157179929822	
null	59	ctrl	0.933158791753725	
feedback	60	A	NA	invariant
feedback	60	ctrl	NA	invariant
trait2gen	60	A	NA	invariant
trait2gen	60	ctrl	NA	invariant
gen2trait	60	A	NA	invariant
gen2trait	60	ctrl	NA	invariant
null	60	A	NA	invariant
null	60	ctrl	NA	invariant
feedback	61	A	NA	invariant
feedback	61	ctrl	0.444098656560653	
trait2gen	61	A	NA	invariant
trait2gen	61	ctrl	0.152287821625267	
gen2trait	61	A	0.0127061019922797	
gen2trait	61	ctrl	0.107908160389756	
null	61	A	0.347815516336901	
null	61	ctrl	0.0648915017937004	
feedback	62	A	0.011113237275091	
feedback	62	ctrl	0.275451596198189	
trait2gen	62	A	0.672195679866343	
trait2gen	62	ctrl	0.333559425686001	
gen2trait	62	A	0.00267320339479715	
gen2trait	62	ctrl	0.339255503447465	
null	62	A	0.419132286985453	
null	62	ctrl	0.650097499946604	
feedback	63	A	0.340708484886301	
feedback	63	ctrl	0.327227033085164	
trait2gen	63	A	0.397483594535583	
trait2gen	63	ctrl	0.93708409673225	
gen2trait	63	A	0.153947604892801	
gen2trait	63	ctrl	0.117429751515946	
null	63	A	0.923235822002544	
null	63	ctrl	0.612245169227046	
feedback	64	A	2.85903270221099e-10	
feedback	64	ctrl	0.569463301058563	
trait2gen	64	A	0.0983195004327098	
trait2gen	64	ctrl	0.884593578750329	
gen2trait	64	A	1.55160579205748e-05	
gen2trait	64	ctrl	0.930309164278223	
null	64	A	0.307529861478663	
null	64	ctrl	0.185570571656095	
feedback	65	A	0.00920163224825544	
feedback	65	ctrl	0.510161660282793	
trait2gen	65	A	0.0166986227736017	
trait2gen	65	ctrl	0.357670557500489	
gen2trait	65	A	0.571655922887838	
gen2trait	65	ctrl	0.534223527266671	
null	65	A	0.718253232617732	
null	65	ctrl	0.875709622067761	
feedback	66	A	NA	invariant
feedback	66	ctrl	NA	invariant
trait2gen	66	A	NA	invariant
trait2gen	66	ctrl	NA	invariant
gen2trait	66	A	NA	invariant
gen2trait	66	ctrl	NA	invariant
null	66	A	NA	invariant
null	66	ctrl	NA	invariant
feedback	67	A	4.7758100928325e-11	
feedback	67	ctrl	0.194443160644123	
trait2gen	67	A	0.701563466568639	
trait2gen	67	ctrl	0.396239319459489	
gen2trait	67	A	0.00121219045968432	
gen2trait	67	ctrl	0.555755690785954	
null	67	A	0.513348046384096	
null	67	ctrl	0.0594684143041363	
feedback	68	A	NA	invariant
feedback	68	ctrl	0.314575091609907	
trait2gen	68	A	NA	invariant
trait2gen	68	ctrl	0.806144668176102	
gen2trait	68	A	NA	invariant
gen2trait	68	ctrl	0.313132653734239	
null	68	A	NA	invariant
null	68	ctrl	0.842919790069728	
feedback	69	A	NA	invariant
feedback	69	ctrl	0.258135612406584	
trait2gen	69	A	0.609782516313325	
trait2gen	69	ctrl	0.875696526748032	
gen2trait	69	A	0.790547283027858	
gen2trait	69	ctrl	0.995381284714695	
null	69	A	0.812582524494211	
null	69	ctrl	0.98761282688524	
feedback	70	A	NA	invariant
feedback	70	ctrl	NA	invariant
trait2gen	70	A	NA	invariant
trait2gen	70	ctrl	NA	invariant
gen2trait	70	A	NA	invariant
gen2trait	70	ctrl	NA	invariant
null	70	A	NA	invariant
null	70	ctrl	NA	invariant
feedback	71	A	1.89444945632291e-08	
feedback	71	ctrl	0.241751591593101	
trait2gen	71	A	0.356587837407866	
trait2gen	71	ctrl	0.586375765944339	
gen2trait	71	A	2.31752027610156e-05	
gen2trait	71	ctrl	0.823374132062311	
null	71	A	0.601205530168365	
null	71	ctrl	0.406060189064627	
feedback	72	A	NA	invariant
feedback	72	ctrl	NA	invariant
trait2gen	72	A	NA	invariant
trait2gen	72	ctrl	NA	invariant
gen2trait	72	A	NA	invariant
gen2trait	72	ctrl	NA	invariant
null	72	A	NA	invariant
null	72	ctrl	NA	invariant
feedback	73	A	NA	invariant
feedback	73	ctrl	0.200888986491291	
trait2gen	73	A	NA	invariant
trait2gen	73	ctrl	0.253606462503261	
gen2trait	73	A	NA	invariant
gen2trait	73	ctrl	0.299846209670966	
null	73	A	NA	invariant
null	73	ctrl	0.776867607674723	
