tag	character	n_tips	n_present	lnL_full	lnL_null	lambda0	lambda1	mu0	mu1	q01	q10	chisq	p	status
f1.0_r033	control	150	100	-240.818938111589	-241.503315033288	1.00774359354223	0.817359763779103	0.579178986514131	4.85172007878881e-07	0.075716515216292	0.171343119298544	1.36875384339839	0.504404415129456	ok
f1.0_r034	driver	150	53	-165.700253660328	-165.956398741569	1.12289628210904	0.99515779978603	2.95367872765444e-09	3.79996441245905e-05	3.75499949010885e-07	0.141800559225461	0.512290162482941	0.774029663461237	ok
f1.0_r034	control	150	84	-175.629470954789	-175.842699210568	1.22769026996388	1.0410536479413	0.213870948763966	3.29903452635457e-05	2.32491523644202e-06	0.135086778790601	0.426456511558854	0.807971691958638	ok
f1.0_r035	driver	150	107	-197.700738677072	-197.761882294642	1.10831540008082	1.1723243516836	0.395403500425807	0.365404529538463	0.0456569275996675	0.107165727451263	0.122287235140675	0.940688130730445	ok
f1.0_r035	control	150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
f1.0_r036	driver	150	88	-196.631711237229	-196.82461860247	0.992199531913742	1.18208297683109	0.262826241758766	0.444157725786024	2.20522775035548e-09	0.109053994876281	0.385814730481457	0.824558353365938	ok
f1.0_r036	control	150	21	-172.237333814029	-173.291767520718	1.00610619123631	1.61390067898574	0.157113071903939	1.25374470179125	7.27508843163218e-10	0.121561445639993	2.10886741337816	0.34838966218982	ok
f1.0_r037	driver	150	81	-207.296936439333	-207.704971181527	0.894232136604048	0.928753335185404	3.4048926434412e-06	0.227888945231069	1.84835602339538e-07	0.0901006368362729	0.816069484387185	0.664955776398776	ok
f1.0_r037	control	150	108	-228.140532401164	-228.932777464043	1.01002192992681	0.886170712407912	0.551402010092113	8.81905016410471e-09	0.137228902429801	0.166854443296257	1.5844901257571	0.452827028083012	ok
f1.0_r038	driver	150	10	-170.06023172153	-172.373234088622	1.18951464256711	0.792990603296966	0.417404299886497	0.541340961321753	9.52653418033318e-11	0.141122754037804	4.62600473418405	0.0989636797778435	ok
f1.0_r038	control	150	6	-166.332178589711	-167.97518414576	1.16928674257967	0.979301087916564	0.423747026821861	0.83427358583148	2.30963608216732e-11	0.151304010735926	3.28601111209895	0.19339789967067	ok
f1.0_r039	driver	150	74	-224.308578771566	-224.958724801183	1.13967960814017	0.82537732849732	0.541761275607613	0.218778663605471	4.29587400747701e-09	0.112738777235791	1.30029205923245	0.521969548182535	ok
f1.0_r039	control	150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
f1.0_r040	driver	150	87	-208.821122087872	-209.361084765433	1.36979467806404	1.01786807233146	0.887588688221895	0.291439979283604	6.93227187245467e-11	0.158426699249189	1.07992535512142	0.58277000236614	ok
f1.0_r040	control	150	70	-205.630110443527	-208.65265712137	1.53365465740385	0.790917954927056	0.794594206148435	0.0862222725373066	1.59829763371855e-09	0.15567372010434	6.04509335568611	0.0486770954980541	ok
f1.0_r041	driver	150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
