tag	character	n_tips	n_present	lnL_full	lnL_null	lambda0	lambda1	mu0	mu1	q01	q10	chisq	p	status
n500_f3.0_r022	control	500	426	2.17383057038901	1.31143598099052	3.84922743723911	3.24989855934456	0.136656860804851	0.330608278780226	2.62092823455259e-07	0.108596809092538	1.72478917879698	0.422149995131824	ok
n500_f3.0_r023	driver	500	482	-24.6995084309653	-28.6674926917534	1.42275981932546	3.1973473573125	1.53943950884303	0.497748603701801	1.50986264152261e-07	0.101774122539456	7.93596852157621	0.0189115154234714	ok
n500_f3.0_r023	control	500	272	-8.92267580306482	-10.1985364622109	2.7202545994287	3.55652405682151	1.41395144872675e-07	1.0476230467766	2.6753133368478e-08	0.0815165743773353	2.55172131829211	0.279190576865265	ok
n500_f3.0_r024	driver	500	474	-73.4834010471368	-78.9005692804985	1.16371876344343	3.11988076299489	2.60765376717052	0.367645039246401	7.66590083146793e-07	0.219302112911767	10.8343364667235	0.00443970106120652	ok
n500_f3.0_r024	control	500	401	-76.1465426636769	-76.2913656777407	2.79089883440467	3.13105520348926	0.0133335048530168	0.606118745295288	2.00691139760386e-09	0.121689058087042	0.289646028127606	0.865175403439906	ok
n500_f3.0_r025	driver	500	482	2.41922371580879	-5.34080724319356	0.926896137781537	3.53277074871098	1.57436907978698e-06	0.860722815628056	1.22238621683464e-08	0.0548383612415456	15.5200619180047	0.000426443378219738	ok
n500_f3.0_r025	control	500	412	-38.9292514717017	-39.1312284035244	3.1557838469157	3.54864183442138	0.735476801445515	1.02947409045721	9.0328449482646e-08	0.140993053742654	0.403953863645512	0.817113777050266	ok
n500_f3.0_r026	driver	500	475	-65.4637884840057	-71.2176618705294	1.04662897354212	2.86570727084213	6.89466063112628e-06	3.02959323618141e-07	0.431037900782178	0.113417635085482	11.5077467730473	0.00317047650129393	ok
n500_f3.0_r026	control	500	455	-67.1125559656243	-67.3195449769043	3.03231038839627	2.78850139054119	0.964582579937675	4.99694643739895e-09	0.0832306062623005	0.117611928063314	0.413978022560059	0.813028584081922	ok
n500_f3.0_r027	driver	500	490	-67.0593301445483	-68.8724073595134	6.07351134245021e-06	2.68020848876273	5.7194093851591	2.85903493120568e-06	1.38332791804324e-06	0.160800365941857	3.62615442993015	0.163151311890791	ok
